time,V(N001),V(N002),I(V1),I(R1),I(D1)
9.4e-06,2,0.640882,-0.000135912,-0.000135912,0.000135912
9.5e-06,2,0.640882,-0.000135912,-0.000135912,0.000135912
9.6e-06,2,0.640882,-0.000135912,-0.000135912,0.000135912
9.7e-06,2,0.640882,-0.000135912,-0.000135912,0.000135912
9.8e-06,2,0.640882,-0.000135912,-0.000135912,0.000135912
9.9e-06,2,0.640882,-0.000135912,-0.000135912,0.000135912
1e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.01e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.02e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.03e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.04e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.05e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.06e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.07e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.08e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.09e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.1e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.11e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.12e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.13e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.14e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.15e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.16e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.17e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.18e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.19e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.2e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.21e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.22e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.23e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.24e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.25e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.26e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.27e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.28e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.29e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.3e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.31e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.32e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.33e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.34e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.35e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.36e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.37e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.38e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.39e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.4e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.41e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.42e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.43e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.44e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.45e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.46e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.47e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.48e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.49e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.5e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.51e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.52e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.53e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.54e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.55e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.56e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.57e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.58e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.59e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.6e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.61e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.62e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.63e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.64e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.65e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.66e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.67e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.68e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.69e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.7e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.71e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.72e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.73e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.74e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.75e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.76e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.77e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.78e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.79e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.8e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.81e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.82e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.83e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.84e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.85e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.86e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.87e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.88e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.89e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.9e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.91e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.92e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.93e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.94e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.95e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.96e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.97e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.98e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.99e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.01e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.02e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.03e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.04e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.05e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.06e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.07e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.08e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.09e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.1e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.11e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.12e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.13e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.14e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.15e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.16e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.17e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.18e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.19e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.2e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.21e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.22e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.23e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.24e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.25e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.26e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.27e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.28e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.29e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
