time,V(N001),I(V1),I(R1),I(D1)
7.8e-06,2.04899,-3.93177e+20,-0.000204899,3.93177e+20
7.9e-06,2.04962,-4.03172e+20,-0.000204962,4.03172e+20
8e-06,2.05024,-4.1342e+20,-0.000205024,4.1342e+20
8.1e-06,2.05087,-4.23929e+20,-0.000205087,4.23929e+20
8.2e-06,2.0515,-4.34704e+20,-0.00020515,4.34704e+20
8.3e-06,2.05213,-4.45753e+20,-0.000205213,4.45753e+20
8.4e-06,2.05275,-4.57082e+20,-0.000205275,4.57082e+20
8.5e-06,2.05338,-4.68698e+20,-0.000205338,4.68698e+20
8.6e-06,2.05401,-4.8061e+20,-0.000205401,4.8061e+20
8.7e-06,2.05464,-4.92824e+20,-0.000205464,4.92824e+20
8.8e-06,2.05526,-5.05348e+20,-0.000205526,5.05348e+20
8.9e-06,2.05589,-5.18189e+20,-0.000205589,5.18189e+20
9e-06,2.05652,-5.31357e+20,-0.000205652,5.31357e+20
9.1e-06,2.05715,-5.44858e+20,-0.000205715,5.44858e+20
9.2e-06,2.05777,-5.58702e+20,-0.000205777,5.58702e+20
9.3e-06,2.0584,-5.72898e+20,-0.00020584,5.72898e+20
9.4e-06,2.05903,-5.87453e+20,-0.000205903,5.87453e+20
9.5e-06,2.05965,-6.02378e+20,-0.000205965,6.02378e+20
9.6e-06,2.06028,-6.17681e+20,-0.000206028,6.17681e+20
9.7e-06,2.06091,-6.33373e+20,-0.000206091,6.33373e+20
9.8e-06,2.06154,-6.49462e+20,-0.000206154,6.49462e+20
9.9e-06,2.06216,-6.6596e+20,-0.000206216,6.6596e+20
1e-05,2.06279,-6.82876e+20,-0.000206279,6.82876e+20
1.01e-05,2.06342,-7.00221e+20,-0.000206342,7.00221e+20
1.02e-05,2.06404,-7.18005e+20,-0.000206404,7.18005e+20
1.03e-05,2.06467,-7.36241e+20,-0.000206467,7.36241e+20
1.04e-05,2.0653,-7.54939e+20,-0.00020653,7.54939e+20
1.05e-05,2.06593,-7.74111e+20,-0.000206593,7.74111e+20
1.06e-05,2.06655,-7.9377e+20,-0.000206655,7.9377e+20
1.07e-05,2.06718,-8.13926e+20,-0.000206718,8.13926e+20
1.08e-05,2.06781,-8.34594e+20,-0.000206781,8.34594e+20
1.09e-05,2.06843,-8.55785e+20,-0.000206843,8.55785e+20
1.1e-05,2.06906,-8.77514e+20,-0.000206906,8.77514e+20
1.11e-05,2.06969,-8.99793e+20,-0.000206969,8.99793e+20
1.12e-05,2.07031,-9.22637e+20,-0.000207031,9.22637e+20
1.13e-05,2.07094,-9.4606e+20,-0.000207094,9.4606e+20
1.14e-05,2.07157,-9.70077e+20,-0.000207157,9.70077e+20
1.15e-05,2.07219,-9.94702e+20,-0.000207219,9.94702e+20
1.16e-05,2.07282,-1.01995e+21,-0.000207282,1.01995e+21
1.17e-05,2.07345,-1.04584e+21,-0.000207345,1.04584e+21
1.18e-05,2.07407,-1.07238e+21,-0.000207407,1.07238e+21
1.19e-05,2.0747,-1.0996e+21,-0.00020747,1.0996e+21
1.2e-05,2.07533,-1.12751e+21,-0.000207533,1.12751e+21
1.21e-05,2.07595,-1.15612e+21,-0.000207595,1.15612e+21
1.22e-05,2.07658,-1.18546e+21,-0.000207658,1.18546e+21
1.23e-05,2.07721,-1.21554e+21,-0.000207721,1.21554e+21
1.24e-05,2.07783,-1.24638e+21,-0.000207783,1.24638e+21
1.25e-05,2.07846,-1.27801e+21,-0.000207846,1.27801e+21
1.26e-05,2.07909,-1.31043e+21,-0.000207909,1.31043e+21
1.27e-05,2.07971,-1.34368e+21,-0.000207971,1.34368e+21
1.28e-05,2.08034,-1.37776e+21,-0.000208034,1.37776e+21
1.29e-05,2.08096,-1.41271e+21,-0.000208096,1.41271e+21
1.3e-05,2.08159,-1.44855e+21,-0.000208159,1.44855e+21
1.31e-05,2.08222,-1.48529e+21,-0.000208222,1.48529e+21
1.32e-05,2.08284,-1.52296e+21,-0.000208284,1.52296e+21
1.33e-05,2.08347,-1.56159e+21,-0.000208347,1.56159e+21
1.34e-05,2.0841,-1.60119e+21,-0.00020841,1.60119e+21
1.35e-05,2.08472,-1.64179e+21,-0.000208472,1.64179e+21
1.36e-05,2.08535,-1.68343e+21,-0.000208535,1.68343e+21
1.37e-05,2.08597,-1.72611e+21,-0.000208597,1.72611e+21
1.38e-05,2.0866,-1.76988e+21,-0.00020866,1.76988e+21
1.39e-05,2.08723,-1.81475e+21,-0.000208723,1.81475e+21
1.4e-05,2.08785,-1.86076e+21,-0.000208785,1.86076e+21
1.41e-05,2.08848,-1.90793e+21,-0.000208848,1.90793e+21
1.42e-05,2.0891,-1.9563e+21,-0.00020891,1.9563e+21
1.43e-05,2.08973,-2.00588e+21,-0.000208973,2.00588e+21
1.44e-05,2.09035,-2.05673e+21,-0.000209035,2.05673e+21
1.45e-05,2.09098,-2.10885e+21,-0.000209098,2.10885e+21
1.46e-05,2.09161,-2.1623e+21,-0.000209161,2.1623e+21
1.47e-05,2.09223,-2.2171e+21,-0.000209223,2.2171e+21
1.48e-05,2.09286,-2.27328e+21,-0.000209286,2.27328e+21
1.49e-05,2.09348,-2.33088e+21,-0.000209348,2.33088e+21
1.5e-05,2.09411,-2.38994e+21,-0.000209411,2.38994e+21
1.51e-05,2.09473,-2.45049e+21,-0.000209473,2.45049e+21
1.52e-05,2.09536,-2.51258e+21,-0.000209536,2.51258e+21
1.53e-05,2.09598,-2.57623e+21,-0.000209598,2.57623e+21
1.54e-05,2.09661,-2.64149e+21,-0.000209661,2.64149e+21
1.55e-05,2.09724,-2.7084e+21,-0.000209724,2.7084e+21
1.56e-05,2.09786,-2.77699e+21,-0.000209786,2.77699e+21
1.57e-05,2.09849,-2.84733e+21,-0.000209849,2.84733e+21
1.58e-05,2.09911,-2.91944e+21,-0.000209911,2.91944e+21
1.59e-05,2.09974,-2.99337e+21,-0.000209974,2.99337e+21
1.6e-05,2.10036,-3.06916e+21,-0.000210036,3.06916e+21
1.61e-05,2.10099,-3.14688e+21,-0.000210099,3.14688e+21
1.62e-05,2.10161,-3.22655e+21,-0.000210161,3.22655e+21
1.63e-05,2.10224,-3.30824e+21,-0.000210224,3.30824e+21
1.64e-05,2.10286,-3.39199e+21,-0.000210286,3.39199e+21
1.65e-05,2.10349,-3.47785e+21,-0.000210349,3.47785e+21
1.66e-05,2.10411,-3.56588e+21,-0.000210411,3.56588e+21
1.67e-05,2.10474,-3.65614e+21,-0.000210474,3.65614e+21
1.68e-05,2.10536,-3.74867e+21,-0.000210536,3.74867e+21
1.69e-05,2.10599,-3.84353e+21,-0.000210599,3.84353e+21
1.7e-05,2.10661,-3.9408e+21,-0.000210661,3.9408e+21
1.71e-05,2.10724,-4.04051e+21,-0.000210724,4.04051e+21
1.72e-05,2.10786,-4.14274e+21,-0.000210786,4.14274e+21
1.73e-05,2.10849,-4.24756e+21,-0.000210849,4.24756e+21
1.74e-05,2.10911,-4.35501e+21,-0.000210911,4.35501e+21
1.75e-05,2.10973,-4.46518e+21,-0.000210973,4.46518e+21
1.76e-05,2.11036,-4.57812e+21,-0.000211036,4.57812e+21
1.77e-05,2.11098,-4.69392e+21,-0.000211098,4.69392e+21
1.78e-05,2.11161,-4.81263e+21,-0.000211161,4.81263e+21
1.79e-05,2.11223,-4.93434e+21,-0.000211223,4.93434e+21
1.8e-05,2.11286,-5.05912e+21,-0.000211286,5.05912e+21
1.81e-05,2.11348,-5.18704e+21,-0.000211348,5.18704e+21
1.82e-05,2.1141,-5.31819e+21,-0.00021141,5.31819e+21
1.83e-05,2.11473,-5.45264e+21,-0.000211473,5.45264e+21
1.84e-05,2.11535,-5.59049e+21,-0.000211535,5.59049e+21
1.85e-05,2.11598,-5.7318e+21,-0.000211598,5.7318e+21
1.86e-05,2.1166,-5.87668e+21,-0.00021166,5.87668e+21
1.87e-05,2.11723,-6.02521e+21,-0.000211723,6.02521e+21
1.88e-05,2.11785,-6.17749e+21,-0.000211785,6.17749e+21
1.89e-05,2.11847,-6.3336e+21,-0.000211847,6.3336e+21
1.9e-05,2.1191,-6.49364e+21,-0.00021191,6.49364e+21
1.91e-05,2.11972,-6.65771e+21,-0.000211972,6.65771e+21
1.92e-05,2.12034,-6.82592e+21,-0.000212034,6.82592e+21
1.93e-05,2.12097,-6.99836e+21,-0.000212097,6.99836e+21
1.94e-05,2.12159,-7.17515e+21,-0.000212159,7.17515e+21
