time,V(N001),V(N002),V(N003),I(V1),I(V2),I(R1),I(R2),I(R3)
9.1e-05,2,-1,0,-0.0003,0,-0.0003,0,0.0001
9.2e-05,2,-1,0,-0.0003,0,-0.0003,0,0.0001
9.3e-05,2,-1,0,-0.0003,0,-0.0003,0,0.0001
9.4e-05,2,-1,0,-0.0003,0,-0.0003,0,0.0001
9.5e-05,2,-1,0,-0.0003,0,-0.0003,0,0.0001
9.6e-05,2,-1,0,-0.0003,0,-0.0003,0,0.0001
9.7e-05,2,-1,0,-0.0003,0,-0.0003,0,0.0001
9.8e-05,2,-1,0,-0.0003,0,-0.0003,0,0.0001
9.9e-05,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.0001,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000101,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000102,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000103,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000104,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000105,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000106,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000107,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000108,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000109,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.00011,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000111,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000112,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000113,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000114,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000115,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000116,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000117,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000118,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000119,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.00012,2,-1,0,-0.0003,0,-0.0003,0,0.0001
