time,V(N001),V(N002),V(N003),I(V1),I(R1),I(I1),I(R2),I(R3)
7.6e-05,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
7.7e-05,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
7.8e-05,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
7.9e-05,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
8e-05,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
8.1e-05,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
8.2e-05,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
8.3e-05,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
8.4e-05,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
8.5e-05,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
8.6e-05,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
8.7e-05,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
8.8e-05,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
8.9e-05,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
9e-05,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
9.1e-05,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
9.2e-05,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
9.3e-05,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
9.4e-05,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
9.5e-05,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
9.6e-05,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
9.7e-05,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
9.8e-05,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
9.9e-05,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.0001,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000101,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000102,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000103,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000104,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000105,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000106,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000107,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000108,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000109,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.00011,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000111,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000112,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000113,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000114,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000115,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000116,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000117,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000118,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000119,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.00012,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000121,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000122,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000123,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000124,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000125,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000126,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000127,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000128,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000129,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.00013,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000131,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000132,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000133,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000134,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000135,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000136,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000137,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000138,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000139,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.00014,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000141,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000142,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000143,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000144,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000145,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000146,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000147,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000148,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000149,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.00015,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000151,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000152,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000153,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000154,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000155,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000156,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000157,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000158,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000159,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.00016,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000161,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000162,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000163,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000164,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000165,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000166,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000167,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000168,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000169,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.00017,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000171,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000172,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
